Variable;Week;formula;c;MIN;MAX;MAX-MIN;Alpha;Beta
ALT;1;ln(c+x);-0.3423172;-0.419032547;3.355421567;3.774454115;-;-
dALT;1;-;-;-;-;-;-;-
dALT2;1;-;-;-;-;-;-;-
pALT;1;-;-;-;-;-;-;-
Tsoil;1;-;-;-;-;-;-;-
TDD;1;ln(c+x);0.119;-2.128631786;1.939077335;4.067709121;0.35;-
Mm;1;-;-;-;-;-;-;-
cMm;1;ln(c+x);424.5;6.050912006;6.259638824;0.208726818;0.48;0.1
MossC;1;ln(c+x);689;6.542471961;6.687108608;0.144636647;0.53;-0.09
VascC;1;ln(c+x);12.1;3.095577609;4.883559212;1.787981603;0.51;-0.04
PlantC;1;ln(c+x);12500;9.436200231;9.446834408;0.010634177;0.56;-0.15
LichenC;1;ln(c+x);2.1;0.741937345;3.529297384;2.78736004;0.49;-0.01
RockC;1;Percentage;-;-;-;-;0.47;0
Org_layer;1;ln(c+x);5.19;1.646926357;3.407510744;1.760584387;0.6;-0.24
Mesotopo;1;Factor;-;-;-;-;-;-
Relative_elevation;1;ln(c+x);0.785;-0.242071561;1.987189182;2.229260743;0.55;-0.13
SD_height;1;ln(c+x);-0.468;-0.474029021;1.933395586;2.407424608;0.49;-0.01
Avg_Gram_height;1;ln(c+x);42.5;3.749504076;4.005968618;0.256464542;0.6;-0.23
Avg_Moss_height;1;ln(c+x);2.05;0.84218276;1.609837832;0.767655073;0.58;-0.27
Avg_Vasc_height;1;ln(c+x);-0.14;-0.314710745;1.72603506;2.040745805;0.6;-0.2
Tmeanair_adv;1;e^cx;0.059;0.997487978;1.317261408;0.31977343;-;-
cTmeanair;1;ln(c+x);2.9;1.26136869;2.126285369;0.864916679;0.34;0.25
Tair;1;ln(c+x);11;2.397895273;2.802369992;0.404474719;-;-
cTair;1;-;-;-;-;-;0.32;-
Albedo;1;e^cx;1.81;1.119905162;1.420992741;0.301087579;0.62;-0.22
Slope;1;ln(c+x);19.05;2.998229154;3.971234865;0.973005711;-;-
DoSM;1;ln(c+x);59.85;4.328757706;4.64294755;0.314189845;0.4;0.16
Max_snow;1;ln(c+x);126.9;4.904533763;5.752255128;0.847721365;0.46;0.06
Aspect;1;ln(c+x);288.1;5.697429001;6.190520303;0.493091302;0.48;0.02
Slope_Class;1;-;-;-;-;-;-;-
ALT;2;ln(c+x);6.4813643;2.249328217;4.297031827;2.04770361;-;-
dALT;2;ln(c+x);6.4;1.481604541;3.815512105;2.333907564;-;-
dALT2;2;ln(c+x);23.7973346;3.169573582;4.216522881;1.046949299;-;-
pALT;2;ln(c+x);0.55;0.936093359;3.922962945;2.986869586;-;-
Tsoil;2;ln(c+x);3.25;1.178654996;2.688980638;1.510325642;-;-
TDD;2;ln(c+x);2.6;0.97455964;3.039749159;2.065189519;0.16;-
Mm;2;ln(c+x);0.05;3.28765534;4.547011272;1.259355932;-;-
cMm;2;ln(c+x);86;4.764478968;5.567695438;0.80321647;0.4;0.18
MossC;2;e^cx;0.0019;1;1.239489994;0.239489994;0.53;-0.1
VascC;2;ln(c+x);12.3;3.104586678;4.647271362;1.542684684;0.57;-0.16
PlantC;2;ln(c+x);12500;9.436200231;9.446834408;0.010634177;0.61;-0.25
LichenC;2;ln(c+x);3.2;1.16315081;3.133317937;1.970167127;0.58;-0.22
RockC;2;Percentage;-;-;-;-;0.47;0
Org_layer;2;ln(c+x);6.6;1.887221153;3.453157121;1.565935968;0.66;-0.37
Mesotopo;2;Factor;-;-;-;-;-;-
Relative_elevation;2;ln(c+x);0.63;-0.46203546;1.932969638;2.395005097;0.73;-0.45
SD_height;2;ln(c+x);-0.39;-0.19150159;1.944615588;2.136117178;0.54;-0.13
Avg_Gram_height;2;e^cx;0.0408;1;1.567763372;0.567763372;0.5;-0.06
Avg_Moss_height;2;ln(c+x);0.96;0.3074847;1.364048752;1.056564052;0.47;0.01
Avg_Vasc_height;2;ln(c+x);0.075;-0.056570351;1.763588592;1.820158944;0.69;-0.44
Tmeanair_adv;2;e^cx;0.219;1;3.131875956;2.131875956;-;-
cTmeanair;2;e^cx;0.0333;1;4.009735033;3.009735033;0.34;0.25
Tair;2;e^cx;0.499;1;15.43055549;14.43055549;-;-
cTair;2;ln(c+x);-0.77;1.431775485;2.274057009;0.842281524;0.4;-
Albedo;2;e^cx;8.755;1;5.4712852;4.4712852;0.38;0.19
Slope;2;ln(c+x);30.015;3.434470958;4.159117431;0.724646472;-;-
DoSM;2;ln(c+x);116;4.905274778;5.075173815;0.169899037;0.52;-0.07
Max_snow;2;ln(c+x);65.7;4.540098189;5.536152467;0.996054277;0.28;0.39
Aspect;2;e^cx;0.00337;1;1.962069925;0.962069925;0.37;0.26
Slope_Class;2;-;-;-;-;-;-;-
ALT;3;ln(c+x);42.7146867;3.906300396;4.960847439;1.054547043;-;-
dALT;3;ln(c+x);24.08;2.999724295;3.89345162;0.893727325;-;-
dALT2;3;ln(c+x);130.290733;4.822623442;5.13161755;0.308994108;-;-
pALT;3;ln(c+x);12.5877;2.867199794;4.75864378;1.891443985;-;-
Tsoil;3;ln(c+x);21.28;3.102192185;3.450410737;0.348218552;-;-
TDD;3;ln(c+x);9.614;2.268407641;3.535553434;1.267145793;0.28;-
Mm;3;ln(c+x);-16.655;1.927891644;4.422988619;2.495096976;-;-
cMm;3;ln(c+x);444.5;6.158460938;6.508113184;0.349652246;0.43;0.12
MossC;3;ln(c+x);529.9;6.282079814;6.465989191;0.183909378;0.53;-0.08
VascC;3;ln(c+x);12.3;3.104586678;4.885072071;1.780485393;0.58;-0.19
PlantC;3;ln(c+x);3050;8.033982735;8.076515328;0.042532593;0.63;-0.29
LichenC;3;ln(c+x);2.0825;0.733569095;3.528784056;2.795214961;0.56;-0.18
RockC;3;Percentage;-;-;-;-;0.48;0
Org_layer;3;ln(c+x);5.5;1.704929894;3.417726684;1.71279679;0.61;-0.24
Mesotopo;3;Factor;-;-;-;-;-;-
Relative_elevation;3;ln(c+x);0.765;-0.267879445;1.984443813;2.252323258;0.58;-0.16
SD_height;3;ln(c+x);-0.495;-0.518372048;1.929482223;2.447854271;0.5;-0.03
Avg_Gram_height;3;ln(c+x);36.9;3.608211551;3.898431052;0.290219501;0.6;-0.27
Avg_Moss_height;3;ln(c+x);1.85;0.752089716;1.569032498;0.816942782;0.69;-0.49
Avg_Vasc_height;3;ln(c+x);-0.195;-0.393042588;1.716197449;2.109240037;0.72;-0.41
Tmeanair_adv;3;e^cx;0.525;3.292891459;20.00245624;16.70956478;-;-
cTmeanair;3;e^cx;0.0015;1.036600322;1.131621503;0.095021181;0.26;0.39
Tair;3;e^cx;0.214;1.14439201;4.200859232;3.056467222;-;-
cTair;3;e^cx;0.091;1.212486902;4.3055033;3.093016398;0.31;-
Albedo;3;e^cx;1.55;1.101834933;1.351053624;0.249218692;0.56;-0.12
Slope;3;ln(c+x);18.12;2.950734908;3.953548752;1.002813845;-;-
DoSM;3;ln(c+x);44.5;4.102643365;4.483002552;0.380359187;0.29;0.38
Max_snow;3;ln(c+x);118;4.836281907;5.723585102;0.887303195;0.33;0.33
Aspect;3;ln(c+x);203.7;5.364573162;6.000672028;0.636098866;0.55;-0.12
Slope_Class;3;-;-;-;-;-;-;-
ALT;4;ln(c+x);126.72325;4.91795881;5.462658447;0.544699638;-;-
dALT;4;ln(c+x);10.33068;2.233307895;3.506478294;1.273170399;-;-
dALT2;4;ln(c+x);37.8159;3.605929817;4.35434578;0.748415963;-;-
pALT;4;ln(c+x);72.5;4.375757022;5.150397236;0.774640215;-;-
Tsoil;4;ln(c+x);0.329;0.657001734;3.365996135;2.708994401;-;-
TDD;4;ln(c+x);3.95;2.087740344;4.048009715;1.96026937;0.3;-
Mm;4;ln(c+x);0.55;2.924236272;4.590259573;1.666023301;-;-
cMm;4;ln(c+x);888;6.84478353;7.073498505;0.228714975;0.49;0.1
MossC;4;ln(c+x);529.9;6.282079814;6.465989191;0.183909378;0.57;-0.08
VascC;4;ln(c+x);12.3;3.104586678;4.885072071;1.780485393;0.68;-0.29
PlantC;4;ln(c+x);3050;8.033982735;8.076515328;0.042532593;0.71;-0.37
LichenC;4;ln(c+x);2.0825;0.733569095;3.528784056;2.795214961;0.6;-0.14
RockC;4;Percentage;-;-;-;-;0.52;0
Org_layer;4;ln(c+x);5.5;1.704929894;3.417726684;1.71279679;0.67;-0.28
Mesotopo;4;Factor;-;-;-;-;-;-
Relative_elevation;4;ln(c+x);0.765;-0.267879445;1.984443813;2.252323258;0.61;-0.14
SD_height;4;ln(c+x);-0.495;-0.518372048;1.929482223;2.447854271;0.53;0.03
Avg_Gram_height;4;ln(c+x);36.9;3.608211551;3.898431052;0.290219501;0.66;-0.3
Avg_Moss_height;4;ln(c+x);1.85;0.752089716;1.569032498;0.816942782;0.73;-0.46
Avg_Vasc_height;4;ln(c+x);-0.195;-0.393042588;1.716197449;2.109240037;0.72;-0.33
Tmeanair_adv;4;ln(c+x);7.1;2.374156443;2.634430197;0.260273755;-;-
cTmeanair;4;ln(c+x);-1;4.080652643;4.871207824;0.79055518;0.39;0.28
Tair;4;ln(c+x);0.01;1.224216511;1.975752083;0.751535572;-;-
cTair;4;e^cx;0.0558;1.487993436;3.3155423;1.827548864;0.4;-
Albedo;4;e^cx;1.55;1.101834933;1.351053624;0.249218692;0.62;-0.13
Slope;4;ln(c+x);18.12;2.950734908;3.953548752;1.002813845;-;-
DoSM;4;ln(c+x);44.5;4.102643365;4.483002552;0.380359187;0.37;0.33
Max_snow;4;ln(c+x);118;4.836281907;5.723585102;0.887303195;0.4;0.3
Aspect;4;ln(c+x);203.7;5.364573162;6.000672028;0.636098866;0.6;-0.11
Slope_Class;4;-;-;-;-;-;-;-
ALT;5;e^cx;0.001873;1.022730839;1.235718061;0.212987222;-;-
dALT;5;ln(c+x);9.295;1.839755667;3.813196651;1.973440984;-;-
dALT2;5;ln(c+x);130.95;4.874815571;5.087287646;0.212472075;-;-
pALT;5;e^cx;0.002805;1;1.342488525;0.342488525;-;-
Tsoil;5;e^cx;0.0337;1.079379854;1.490010748;0.410630894;-;-
TDD;5;ln(c+x);1.325;2.150792741;4.182431749;2.031639008;0.16;-
Mm;5;ln(c+x);12.28;3.275256158;4.649282761;1.374026602;-;-
cMm;5;ln(c+x);509.5;6.371782773;6.783098674;0.411315902;0.5;0.08
MossC;5;ln(c+x);529.9;6.282079814;6.465989191;0.183909378;0.58;-0.08
VascC;5;ln(c+x);12.3;3.104586678;4.885072071;1.780485393;0.67;-0.25
PlantC;5;ln(c+x);3050;8.033982735;8.076515328;0.042532593;0.69;-0.32
LichenC;5;ln(c+x);2.0825;0.733569095;3.528784056;2.795214961;0.58;-0.08
RockC;5;Percentage;-;-;-;-;0.53;0
Org_layer;5;ln(c+x);5.5;1.704929894;3.417726684;1.71279679;0.65;-0.23
Mesotopo;5;Factor;-;-;-;-;-;-
Relative_elevation;5;ln(c+x);0.765;-0.267879445;1.984443813;2.252323258;0.55;-0.02
SD_height;5;ln(c+x);-0.495;-0.518372048;1.929482223;2.447854271;0.53;0.02
Avg_Gram_height;5;ln(c+x);36.9;3.608211551;3.898431052;0.290219501;0.62;-0.19
Avg_Moss_height;5;ln(c+x);1.85;0.752089716;1.569032498;0.816942782;0.71;-0.41
Avg_Vasc_height;5;ln(c+x);-0.195;-0.393042588;1.716197449;2.109240037;0.68;-0.25
Tmeanair_adv;5;ln(c+x);-2.8;0.626164007;1.401698543;0.775534536;-;-
cTmeanair;5;ln(c+x);-1;4.542380357;5.167963064;0.625582707;0.45;0.18
Tair;5;e^cx;0.16625;1.469351751;2.553512586;1.084160835;-;-
cTair;5;e^cx;0.0575;2.064416037;5.073616913;3.009200876;0.43;-
Albedo;5;e^cx;1.55;1.101834933;1.351053624;0.249218692;0.57;-0.04
Slope;5;ln(c+x);18.12;2.950734908;3.953548752;1.002813845;-;-
DoSM;5;ln(c+x);44.5;4.102643365;4.483002552;0.380359187;0.42;0.24
Max_snow;5;ln(c+x);118;4.836281907;5.723585102;0.887303195;0.44;0.23
Aspect;5;ln(c+x);203.7;5.364573162;6.000672028;0.636098866;0.56;-0.03
Slope_Class;5;-;-;-;-;-;-;-
ALT;6;e^cx;0.0032467;1.10230131;1.443215611;0.340914302;-;-
dALT;6;ln(c+x);21.977;2.889093163;3.713010934;0.823917771;-;-
dALT2;6;ln(c+x);580.265;6.360032241;6.413893289;0.053861048;-;-
pALT;6;e^cx;0.00346;1.056921038;1.488695153;0.431774115;-;-
Tsoil;6;ln(c+x);-2.115;0.668683708;2.294384896;1.625701188;-;-
TDD;6;ln(c+x);7.25;2.922265122;4.36923686;1.446971738;0.04;-
Mm;6;e^cx;0.00017;1.002047193;1.011455113;0.00940792;-;-
cMm;6;ln(c+x);642;6.623175057;6.966967139;0.343792081;0.52;0.1
MossC;6;ln(c+x);529.9;6.282079814;6.465989191;0.183909378;0.56;0.01
VascC;6;ln(c+x);12.3;3.104586678;4.885072071;1.780485393;0.72;-0.3
PlantC;6;ln(c+x);3050;8.033982735;8.076515328;0.042532593;0.69;-0.25
LichenC;6;ln(c+x);2.0825;0.733569095;3.528784056;2.795214961;0.62;-0.13
RockC;6;Percentage;-;-;-;-;0.55;0
Org_layer;6;ln(c+x);5.5;1.704929894;3.417726684;1.71279679;0.67;-0.21
Mesotopo;6;Factor;-;-;-;-;-;-
Relative_elevation;6;ln(c+x);0.765;-0.267879445;1.984443813;2.252323258;0.57;0
SD_height;6;ln(c+x);-0.495;-0.518372048;1.929482223;2.447854271;0.55;0.04
Avg_Gram_height;6;ln(c+x);36.9;3.608211551;3.898431052;0.290219501;0.7;-0.33
Avg_Moss_height;6;ln(c+x);1.85;0.752089716;1.569032498;0.816942782;0.71;-0.34
Avg_Vasc_height;6;ln(c+x);-0.195;-0.393042588;1.716197449;2.109240037;0.74;-0.32
Tmeanair_adv;6;e^cx;0.914;117.2865534;529.5108668;412.2243134;-;-
cTmeanair;6;ln(c+x);183;5.749819249;6.006072845;0.256253597;0.46;0.22
Tair;6;e^cx;0.1813;1.629536248;2.634022523;1.004486275;-;-
cTair;6;e^cx;0.062;2.964260229;9.166964136;6.202703907;0.43;-
Albedo;6;e^cx;1.55;1.101834933;1.351053624;0.249218692;0.52;0.08
Slope;6;ln(c+x);18.12;2.950734908;3.953548752;1.002813845;-;-
DoSM;6;ln(c+x);44.5;4.102643365;4.483002552;0.380359187;0.42;0.28
Max_snow;6;ln(c+x);118;4.836281907;5.723585102;0.887303195;0.43;0.29
Aspect;6;ln(c+x);203.7;5.364573162;6.000672028;0.636098866;0.56;0.01
Slope_Class;6;-;-;-;-;-;-;-
ALT;7;e^cx;0.0033555;1.159095401;1.505861419;0.346766018;-;-
dALT;7;e^cx;0.01015;0.970008931;1.141051265;0.171042334;-;-
dALT2;7;ln(c+x);67.35685;4.224741778;4.536429247;0.311687469;-;-
pALT;7;e^cx;0.002336;1.090277226;1.317384063;0.227106837;-;-
Tsoil;7;ln(c+x);4.1;2.15563068;2.703595851;0.547965171;-;-
TDD;7;ln(c+x);15.07;3.468959867;4.544039186;1.075079319;0.16;-
Mm;7;e^cx;0.0105;1.131546182;1.840523423;0.708977241;-;-
cMm;7;ln(c+x);1122;7.128311486;7.373060387;0.244748901;0.5;0.08
MossC;7;ln(c+x);529.9;6.282079814;6.465989191;0.183909378;0.57;-0.08
VascC;7;ln(c+x);12.3;3.104586678;4.885072071;1.780485393;0.68;-0.3
PlantC;7;ln(c+x);3050;8.033982735;8.076515328;0.042532593;0.7;-0.35
LichenC;7;ln(c+x);2.0825;0.733569095;3.528784056;2.795214961;0.55;-0.04
RockC;7;Percentage;-;-;-;-;0.52;0
Org_layer;7;ln(c+x);5.5;1.704929894;3.417726684;1.71279679;0.64;-0.22
Mesotopo;7;Factor;-;-;-;-;-;-
Relative_elevation;7;ln(c+x);0.765;-0.267879445;1.984443813;2.252323258;0.48;0.1
SD_height;7;ln(c+x);-0.495;-0.518372048;1.929482223;2.447854271;0.5;0.08
Avg_Gram_height;7;ln(c+x);36.9;3.608211551;3.898431052;0.290219501;0.68;-0.36
Avg_Moss_height;7;ln(c+x);1.85;0.752089716;1.569032498;0.816942782;0.7;-0.39
Avg_Vasc_height;7;ln(c+x);-0.195;-0.393042588;1.716197449;2.109240037;0.75;-0.38
Tmeanair_adv;7;e^cx;4.71;4.71E+11;1.55E+14;1.55E+14;-;-
cTmeanair;7;e^cx;0.000347;1.061451258;1.098571533;0.037120275;0.47;0.14
Tair;7;ln(c+x);3.5;2.206161377;2.39709192;0.190930543;-;-
cTair;7;e^cx;0.102;10.62114685;69.76775917;59.14661231;0.47;-
Albedo;7;e^cx;1.55;1.101834933;1.351053624;0.249218692;0.53;0
Slope;7;ln(c+x);18.12;2.950734908;3.953548752;1.002813845;-;-
DoSM;7;ln(c+x);44.5;4.102643365;4.483002552;0.380359187;0.45;0.18
Max_snow;7;ln(c+x);118;4.836281907;5.723585102;0.887303195;0.45;0.2
Aspect;7;ln(c+x);203.7;5.364573162;6.000672028;0.636098866;0.5;0.07
Slope_Class;7;-;-;-;-;-;-;-
ALT;8;e^cx;0.00465;1.30957152;1.813393587;0.503822067;-;-
dALT;8;ln(c+x);6.76;1.91102289;3.033028058;1.122005168;-;-
dALT2;8;ln(c+x);67.35685;4.227663328;4.536429247;0.308765919;-;-
pALT;8;e^cx;0.00765;1.499977338;2.523508008;1.02353067;-;-
Tsoil;8;ln(c+x);-1.76;1.043804052;2.183050524;1.139246472;-;-
TDD;8;ln(c+x);22.3;3.797733859;4.682748321;0.885014462;0.19;-
Mm;8;ln(c+x);29.9;3.848017675;4.590056548;0.742038873;-;-
cMm;8;ln(c+x);990;7.03559425;7.324094384;0.288500133;0.41;0.16
MossC;8;ln(c+x);529.9;6.282079814;6.465989191;0.183909378;0.47;0.02
VascC;8;ln(c+x);12.3;3.104586678;4.885072071;1.780485393;0.59;-0.2
PlantC;8;ln(c+x);3050;8.033982735;8.076515328;0.042532593;0.56;-0.16
LichenC;8;ln(c+x);2.0825;0.733569095;3.528784056;2.795214961;0.54;-0.14
RockC;8;Percentage;-;-;-;-;0.48;0
Org_layer;8;ln(c+x);5.5;1.704929894;3.417726684;1.71279679;0.5;-0.05
Mesotopo;8;Factor;-;-;-;-;-;-
Relative_elevation;8;ln(c+x);0.765;-0.267879445;1.984443813;2.252323258;0.41;0.13
SD_height;8;ln(c+x);-0.495;-0.518372048;1.929482223;2.447854271;0.43;0.1
Avg_Gram_height;8;ln(c+x);36.9;3.608211551;3.898431052;0.290219501;0.58;-0.24
Avg_Moss_height;8;ln(c+x);1.85;0.752089716;1.569032498;0.816942782;0.55;-0.14
Avg_Vasc_height;8;ln(c+x);-0.195;-0.393042588;1.716197449;2.109240037;0.59;-0.18
Tmeanair_adv;8;e^cx;6.899;9.53E+17;6.10E+20;6.09E+20;-;-
cTmeanair;8;e^cx;0.0071;4.799216698;9.251373096;4.452156398;0.44;0.08
Tair;8;e^cx;0.013;1.064340163;1.102284855;0.037944692;-;-
cTair;8;e^cx;0.1376;50.53124545;775.8487567;725.3175112;0.45;-
Albedo;8;e^cx;1.55;1.101834933;1.351053624;0.249218692;0.4;0.12
Slope;8;ln(c+x);18.12;2.950734908;3.953548752;1.002813845;-;-
DoSM;8;ln(c+x);44.5;4.102643365;4.483002552;0.380359187;0.43;0.12
Max_snow;8;ln(c+x);118;4.836281907;5.723585102;0.887303195;0.43;0.13
Aspect;8;ln(c+x);203.7;5.364573162;6.000672028;0.636098866;0.47;0.02
Slope_Class;8;-;-;-;-;-;-;-
